,preis,kilometer,erstzulassung_monat,erstzulassung_jahr,leistung,mfk_monat,mfk_jahr,angebotsnummer,bewertung_durchschnitt,bewertung_gesamteindruck,bewertung_erreichbarkeit,bewertung_zuverlaessigkeit,bewertung_angebotsbeschreibung,bewertung_kauferlebnis,anzahl_bewertungen,prozentsatz_weiterempfehlungen,fahrzeughalter,gaenge,hubraum,kraftstoffverbrauch,co2_emissionen,tueren,sitzplaetze,garantie,marke_Volkswagen,modell_Golf VI,treibstoff_Autogas (LPG),treibstoff_Benzin,treibstoff_Diesel,treibstoff_Gas,treibstoff_Sonstige,anbieter_Gewerblicher Anbieter,anbieter_Privater Anbieter,karosserieform_Cabrio,karosserieform_Coupé,karosserieform_Kleinwagen,karosserieform_Kombi,karosserieform_Limousine,karosserieform_Sonstige,karosserieform_Van/Kleinbus,getriebe_Automatik,getriebe_Halbautomatik,getriebe_Schaltgetriebe,antriebsart_Allrad,antriebsart_Front,antriebsart_Heck
239,11479,67400.0,2.0,2010.0,77,1.0,2017.0,270917604,4.0,4.0,4.0,0.0,0.0,4.0,2.0,100.0,2.0,,1598.0,45.0,119.0,5.0,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
240,11450,108980.0,1.0,2012.0,77,,,269872574,3.96,3.75,3.85,4.14,4.42,3.5,8.0,100.0,1.0,5.0,1598.0,41.0,,,2.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
243,11480,24027.0,3.0,2011.0,59,,,270091084,4.9,5.0,5.0,5.0,4.5,5.0,2.0,100.0,1.0,5.0,1390.0,1.0,,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
245,11490,50390.0,4.0,2009.0,90,,,270114493,4.88,5.0,4.75,5.0,4.75,5.0,4.0,100.0,1.0,,1390.0,60.0,138.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
249,11495,151945.0,2.0,2010.0,77,,,261881543,4.64,4.61,4.76,4.74,4.62,4.45,84.0,95.0,1.0,,1598.0,47.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
251,11630,75500.0,3.0,2011.0,118,4.0,2017.0,270114582,4.5,4.33,4.33,5.0,4.33,5.0,3.0,100.0,1.0,6.0,1390.0,63.0,145.0,3.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
252,11598,54762.0,3.0,2011.0,77,,,269804086,4.22,4.38,4.35,4.25,4.12,4.0,57.0,86.0,1.0,,1197.0,57.0,134.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
254,11660,92400.0,5.0,2011.0,77,,,270038893,4.5,4.6,4.75,4.5,4.5,4.0,5.0,100.0,1.0,5.0,1598.0,45.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
256,11700,129900.0,1.0,2012.0,103,1.0,2017.0,270767170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1968.0,49.0,,,5.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
257,11729,77836.0,12.0,2010.0,77,,,270355570,4.55,4.5,4.5,4.5,4.5,5.0,2.0,100.0,2.0,,1598.0,45.0,,,5.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
264,11800,31388.0,10.0,2012.0,63,,,265873967,4.5,4.5,5.0,5.0,3.5,4.5,2.0,100.0,1.0,5.0,1197.0,55.0,129.0,3.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
265,11849,123329.0,3.0,2012.0,103,,,270311114,3.69,3.77,3.66,3.66,4.0,3.37,9.0,78.0,1.0,,1968.0,61.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
